Tarif_Adi,Lemmatized_Metin
Çökertme Kebabı,biftek patates yoğurt zeytinyağı tuz kekik kırmızı pul biber sıvıyağ soğan sarımsak sirke kimyon domates domates salçası bifteği ince ince jülyen şeklinde doğrayın doğradığınız biftekleri derin bir kaba alın et marinesi için etlerin üzerine adet küçük boy soğan ve diş sarımsağı ince ince doğrayın yemek kaşığı zeytinyağı yemek kaşığı sirke kekik ve kimyon koyun eliniz ile karıştırın kabın üzerini kapatıp etleri en az saat kadar marine edin domates sosu için bir tava içine yemek kaşığı zeytinyağı koyun üzerine yemek kaşığı domates salçası ekleyip dk kadar kavurun ardından adet rendelenmiş domatesi ve az miktar tuz ekleyin hazırladığınız sosu dk kadar pişirip ocaktan alın çökertme kebabının etleri için geniş bir tavayı ocak üzerine alıp ısıtın üzerine etleri koyun etler suyunu salıp çekene kadar pişirin son olarak tuz ve baharatları ekleyip dk pişirin diğer taraftan adet patatesin kabuğunu soyup yıkayın patatesleri kibrit çöpü kalınlığında doğrayın daha sonra patatesleri kızgın yağ içinde kızartın son olarak yemek kaşığı yoğurdu bir kapta iyice çırpın i steğe göre içine rendelenmiş sarımsak ta ekleyebilirsiniz geniş bir servis tabağı üzerine önce kızarttığınız patatesleri alın ardından üzerine çırptığınız yoğurdu dökün son olarak domates sosu ve etleri ekleyin hazırladığınız çökertme kebabını bekletmeden sıcak olarak servis edebilirsiniz
Dovga Çorbası,pirinç yoğurt su un yumurta sarısı ıspanak kişniş dereotu taze nane pirinçleri küçük bir tencere içine koyun ve pirinçlerin üzerini geçecek kadar sıcak su dökün pirinçleri iyice yumuşayana kadar haşlayın otları bıçak yardımı ile ince ince doğrayın derin bir tencere içine buçuk su bardağı yoğurt koyun yoğurdun üzerine adet yumurta sarısı ve yemek kaşığı un ekleyin bu karışımı pürüzsüz bir kıvam alana kadar tel çırpıcı yardımı ile iyice karıştırın yoğurtlu karışımın üzerine su bardağı su dökün ve tekrardan çırpıcı yardımı ile iyice karıştırın hazırladığınız yoğurtlu karışımın içine haşladığınız pirinçleri ekleyip güzelce karıştırın tencereyi ocak üzerine alın ve sürekli karıştırarak kaynamaya bırakın çorbanız kaynadıktan sonra içine doğradığınız ıspanak taze kişniş taze nane ve dereotlarını ekleyip güzelce karıştırın hazırladığınız dovga çorbasını yaklaşık dakika kadar orta kısık ateş üzerinde sürekli karıştırarak pişirmeye devam edin son olarak damak tadınıza göre tuz koyup tekrar karıştırın
Ekşili Sulu Köfte,patates havuç tere yağı zeytinyağı sıcak su maydanoz tuz kıyma soğan pirinç ince bulgur karabiber kırmızı pul biber kimyon un yumurta sarısı limon suyu köfteleri hazırlayın kıymayı yoğurun köfteleri una bulan sebzeleri doğrayın tencereye yağ koyun sebzeleri kavurun sıcak su ekleyin köfteleri ekleyin terbiye hazırlayın terbiyeyi ekleyin tuz ekleyin servis edin
Erişteli Barbunya Çorbası,erişte barbunya domates salçası biber salçası soğan tereyağı sıvı yağ sıcak su tuz maydanoz orta boy derin bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı sıvı yağ döküp ısıtın isınan yağın üzerine adet orta boy ince ince doğranmış soğan ekleyin soğanı güzelce yumuşayana kadar sürekli karıştırarak kavurun daha sonra kavrulan soğanın üzerine yemek kaşığı domates salçası ve yemek kaşığı biber salçası koyun salçaların kokusu çıkana kadar sürekli karıştırarak kavurun kavrulan salçaların üzerine su bardağı haşlanmış barbunya ekleyin barbunyaları da dakika kadar kavurmaya devam edin ardından tencereye su bardağı su döküp güzelce karıştırın daha sonra kaynayan çorba suyunun içine su bardağı erişte ve damak tadınıza göre tuz ekleyip karıştırın erişteli barbunya çorbasının kıvamı çok sulu olmayacaktır ama siz damak tadınıza göre çorba suyunu biraz daha arttırabilirsiniz hazırladığınız barbunyalı erişte çorbasının üzerini tutam ince ince doğranmış maydanoz ile süsleyerek servis edebilirsiniz
Erzurum Helvası,tere yağı sıvı yağ un un toz şeker su geniş orta boy bir tencere içine gr tereyağı ve çay bardağından parmak az sıvı yağ koyun yağı ısıtıp tereyağın erimesini sağlayın eriyen yağın üzerine buçuk su bardağı un ve tekrardan yemek kaşığı dolusu un ekleyin unu yağa iyice yedirin unun kokusu çıkıp helvanın rengi hafifçe kahve rengi olana kadar sürekli karıştırarak kavurun kavrulan helvayı ocak üzerinden alıp çukur bir kap içerisine koyun helvayı ara ara karıştırıp çok fazla soğutmadan sadece ılımaya bırakın helva ılıdıktan sonra küçük bir kase içine çay bardağı toz şeker koyun şekerin üzerine çorba kaşığı kadar su dökün kaşık yardımı ile şekeri eritmeden sadece kere karıştırın şekerli suyu helvanın üzerine dökün helvanın başta sıvı bir kıvamı olacaktır koyu bir kıvam alana kadar kaşık yardımı ile erzurum un helvasını sürekli karıştırmaya devam edin
Fırında Porsiyon Musakka,patlıcan kıyma soğan sivri biber kırmızı kapya biber domates domates salçası zeytinyağı ılık su tuz karabiber orta boy geniş bir tencere içine yemek kaşığı zeytinyağı dökün üzerine gr kadar kıyma koyun kıymayı sürekli karıştırıp rengi değişene kadar kavurun kavrulan kıymanın üzerine adet orta boy ince ince doğranmış soğan ekleyin ardından adet küçük küpler halinde doğranmış yeşil biber ve adet doğranmış büyük boy kırmızı kapya biberi koyun soğan ve biberleri kıyma ile birlikte dakika kadar ara ara karıştırarak kavurun daha sonra kıymalı harcın üzerine yemek kaşığı domates salçası ekleyin salçayı dakika kadar sürekli karıştırarak kavurun son olarak adet orta boy minik küpler halinde doğranmış domates yarım çay bardağı ılık su damak tadınıza göre tuz ve karabiber koyup karıştırın tencerenin kapağını kapatıp domatesler hafifçe yumuşayana kadar pişirin diğer tarafta adet orta boy patlıcanı alacalı soyup yıkayın patlıcanları çok küçük olmayacak şekilde doğrayın doğradığınız patlıcanları kızgın yağ içerisinde kızartın kızarttığınız patlıcanları küçük güveç kaplarına paylaştırın patlıcanların üzerine de hazırladığınız kıymalı harcı paylaştırıp güzelce yayın patlıcan musakkanın üzerini domates ve biber dilimi ile süsleyin önceden ısıtılmış derece fırına verip yaklaşık dakika kadar pişirin
Gülüklü Çorbası,tavuk göğsü haşlanmış nohut pirinç domates biber salçası zeytinyağı kuru nane kırmızı pul biber tavuk suyu sıcak su tuz kıyma karabiber tavuk göğsünü haşlayın köfte harcını yoğurun ve köfteleri şekillendirin köfteleri kızartın tencereye zeytinyağı biber salçası domates nane ve pul biber ekleyip kavurun tavuk suyu ve sıcak su ekleyip kaynatın pirinç tavuk eti ve nohut ekleyip pişirin köfteleri ekleyip taşım kaynatın
Hamursuz Arabaşı Çorbası,tavuk baget sıcak su zeytinyağı tereayağı un domates salçası biber salçası kırmızı pul biber karabiber nane tuz adet tavuk bageti derin bir tencere içine koyun üzerine yaklaşık buçuk litre sıcak su döküp haşlayın haşlanan butları suyundan süzerek alın kemiklerinden ayırıp küçük küçük parçalara ayırın diğer tarafta başka derin bir tencere içine yemek kaşığı zeytinyağı koyun üzerine yemek kaşığı tereyağı ekleyip eritin eriyen yağın üzerine yemek kaşığı dolusu un koyup kokusu çıkana kadar dakika kavurun kavrulan unun üzerine buçuk yemek kaşığı domates salçası ve tatlı kaşığı biber salçası ekleyin dakika daha kavurun tencereyi ocak üzerinden alın i çine su bardağı tavuk suyunu azar azar döküp topaklanma olmaması için tel çırpıcı yardımı ile hızlı bir şekilde karıştırın ardından tencereyi ocak üzerine koyup kaynamaya bırakın çorbanın kıvamı koyu ise azar azar sıcak su ekleyebilirsiniz kaynayan çorba suyunun içine çay kaşığı kırmızı pul biber çay kaşığı karabiber çay kaşığı nane tuz ve küçük parçalara ayırdığınız tavuk etlerini ekleyin kepçe yardımı ile karıştırın hazırladığınız hamursuz arabaşı çorbasını tekrar kaynamaya bırakın kaynadıktan sonra altını kısıp yaklaşık dakika kadar daha kaynatın daha sonra sıcak olarak servis edebilirsiniz
Haşu Pilavı,pilavlık pirinç kuşbaşı kuzu eti çiğ badem maydanoz yenibahar karabiber tereyağı zeytinyağı sıcak su tuz pirinçleri sıcak su içinde dakika bekletin çiğ bademi kaynar su içinde dakika bekletin kuşbaşı kuzu etini iyice ısıttığınız küçük bir tencere içine koyun ve etler suyunu salana kadar sürekli karıştırarak kavurun etler suyunu saldıktan sonra tencerenin kapağını kapatın ve etler suyunu çekip yumuşayana kadar pişirin tencereye yemek kaşığı zeytinyağı ve damak tadınıza göre tuz ekleyin ve dakika daha kavurun orta boy geniş bir tencereye yarım yemek kaşığı tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın isınan yağın üzerine suyunu iyice süzdüğünüz pirinci ekleyin ve pirinçler saydamlaşana kadar yaklaşık dakika sürekli karıştırarak kavurun kavrulan pirinçlerin üzerine çay kaşığı yenibahar çay kaşığı karabiber ve damak tadınıza göre tuz koyup kere karıştırın pirincin üzerine yaklaşık su bardağı kadar sıcak su döküp karıştırın ve tencerenin kapağını kapatıp kaynamaya bırakın kaynadıktan sonra kısık ateş üzerinde pilav suyunu çekene kadar pişirin pilav piştikten sonra dakika kadar demlenmeye bırakın suda beklettiğiniz bademlerin kabuklarını soyun ve küçük bir tava içine yemek kaşığı sıvı yağ koyun üzerine kabuklarını soyduğunuz bademleri ekleyin ve hafifçe kahverengi olana kadar sürekli karıştırarak kavurun demlenen pilavı kere karıştırın ve üzerine pişen kuzu etlerini kavrulmuş bademleri ve yarım demet ince ince doğranmış maydanozu ekleyin tüm pilav harcını kepçe yardımı ile güzelce karıştırın ve hazırladığınız mardin usulü iç pilavı sıcak olarak servis edebilirsiniz
Hatay Usulü Acuka,biber salçası zeytinyağı kırık ceviz sarımsak yoğurt çörek otu kavrulmuş susam kırmızı pul biber kimyon karabiber tuz orta boy bir kap içine yemek kaşığı biber salçası koyun biber salçasının üzerine yemek kaşığı yoğurt diş dövülmüş sarımsak tatlı kaşığı kırmızı pul biber tatlı kaşığı kimyon yarım çay kaşığı karabiber ve yarım çay kaşığı tuz ekleyin tuz miktarını salçanızın tuz oranına göre ayarlayabilirsiniz ardından malzemelerin üzerine yarım su bardağı zeytinyağı dökün daha sonra kapta bulunan malzemelerin iyice karışmasını sağlayın son olarak karışımın üzerine yarım su bardağı kırık ceviz yemek kaşığı çörek otu ve yemek kaşığı kavrulmuş susam koyun tüm malzemeleri kaşık yardımı ile güzelce karıştırın
İmaret Çorbası,süt su pirinç soğan zeytinyağı tuz terbiye üzeri orta boy derin bir tencere içine su bardağı süt ve buçuk su bardağı su dökün tencereyi ocak üzerine alın ara ara karıştırarak kaynamaya bırakın kaynayan sütlü karışımın içine yarım çay bardağı yıkanmış pirinci ekleyin pirinçler güzelce yumuşayana kadar ara ara karıştırarak pişirin adet orta boy soğanı ince ince doğrayın küçük bir tava içine yemek kaşığı zeytinyağı döküp ısıtın isınan yağın üzerine doğranmış soğanı koyun soğanlar iyice yumuşayana kadar sürekli karıştırarak kavurun daha sonra kavurduğunuz soğanı çorbanın içine koyup karıştırın çorbayı orta kısık ateş üzerinde ara ara karıştırarak pişirmeye devam edin çorbanın terbiyesi için derin bir kase içine adet yumurta kırın yumurtanın üzerine yemek kaşığı un ve yarım çay bardağı su ekleyin malzemeleri çırpıcı yardımı ile iyice çırpın ardından çorbanın suyundan kepçe alın terbiyenin içine azar azar döküp bir yandan da kesilmemesi için hızlı bir şekilde karıştırarak ılımasını sağlayın hazırladığınız terbiyeyi çorbanın içine azar azar döküp bir yandan da hızlı bir şekilde karıştırın çorbayı kaynayana kadar sürekli karıştırarak pişirin ardından damak tadınıza göre tuz ekleyin çorbanın kıvamı koyu ise azar azar sıcak su ekleyip kıvamı ayarlayabilirsiniz çorbanın üzeri için küçük bir sos tavası içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine tatlı kaşığı kuru nane ve çay kaşığı kırmızı pul biber ekleyin sosu karıştırıp hafifçe kızdırın i maret çorbası piştikten sonra dakika dinlenmeye bırakın daha sonra üzerine hazırladığınız yağlı sosu döküp sıcak olarak servis edebilirsiniz
Kabak Sıyırma,kabak kuru soğan sarımsak pirinç zeytinyağı limon suyu sıcak su tuz dereotu kabağı yıkayıp kurulayın kabağın baş kısımlarını kesip sebze soyucu ile çekirdekli kısmına gelene kadar ince ince yukarıdan aşağı aynı uzunlukta sıyırarak soyun geniş bir tencere içine zeytinyağı dökün üzerine ince ince doğranmış soğan ve sarımsak ekleyin soğan ve sarımsağı dakika kadar sürekli karıştırarak kavurun ardından kavrulan soğan ve sarımsağın üzerine pirinci koyun pirinci de dakika karıştırarak kavurun pirinçlerin üzerine sıcak su döküp tencerenin kapağını kapatın piriçler çok hafif yumuşayana kadar pişirin pirinç hafifçe piştikten sonra kere karıştırın ardından tencereye kabakları ekleyin damak tadınıza göre tuz ve limon suyu koyun son olarak yarım çay bardağı kadar sıcak su döküp hafifçe karıştırın tencerenin kapağını kapatın kabaklar hafifçe yumuşayana kadar pişirin kabak sıyırma piştikten sonra ocaktan alıp soğumaya bırakın daha sonra üzerine ince ince doğranmış dereotu serpiştirip yanında yoğurt ile servis edebilirsiniz
Kesme Nevzine Tatlısı,tere yağı süt sıvı yağ tahin sirke kabartma tozu çekilmiş ceviz un toz şeker su pekmez limon suyu yeşil toz fıstık şerbeti hazırlayıp oda ısısında soğumaya bırakın hamuru hazırlayın hamuru eşit parçaya bölün her bir parçayı ileri geri yuvarlayarak çok kalın olmayacak şekilde uzun rulolar yapın hamuru yağlı kağıt serili fırın tepsisine aralarında biraz boşluk bırakarak yerleştirin önceden ısıtılmış derece fırına verin tatlıyı fırından çıkartın şerbeti dökün
Köme Çorbası,yoğurt patlıcan patates domates yeşil biber nohut yeşil mercimek buğday yumurta un zeytinyağı su tereyağı kuru nane yarım adet patlıcanın kabuğunu alacalı soyup minik küpler şeklinde doğrayın doğradığınız patlıcanları tuzlu su içinde dakika kadar bekletin adet küçük boy patates ve adet küçük boy domatesin de kabuğunu soyun adet yeşil biberin çekirdek kısımlarını temizleyin patates domates ve biberi de minik küpler şeklinde doğrayın diğer tarafta derin bir kase içine su bardağı yoğurt koyun yoğurdun katı kısmını kullanın yoğurdun üzerine adet yumurta kırın yemek kaşığı zeytinyağı ve yemek kaşığı un ekleyin tel çırpıcı yardımı ile pürüzsüz bir kıvam alana kadar iyice çırpın ardından yoğurtlu karışımın üzerine litre su döküp tekrar iyice karıştırın hazırladığınız yoğurtlu karışımı derin bir tencere içine dökün üzerine yarım su bardağı haşlanmış nohut yarım su bardağı haşlanmış buğday ve yarım su bardağı haşlanmış yeşil mercimeği ekleyin ardından minik küpler şeklinde doğradığınız sebzeleri de tencereye koyun güzelce karıştırıp ocak üzerine alın sürekli karıştırarak kaynamaya bırakın çorbanız kaynadıktan sonra kısık ateş üzerinde sebzeler yumuşayana kadar ara ara karıştırarak pişirin köme çorbasının üzeri için küçük bir tava içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine çay kaşığı dolusu kuru nane ekleyip hafifçe kızdırın köme çorbası piştikten sonra üzerine kızdırdığınız yağlı sosu döküp servis edebilirsiniz
